queue,waiting_time,order,meals,dirty,free,result
1,15,3,3,2,0,false
1,30,3,2,1,0,false
1,45,1,2,2,0,false
1,30,1,2,1,2,true
1,0,4,5,3,2,false
1,60,2,1,2,3,true
1,30,1,2,1,4,true
1,15,4,5,1,4,true
2,15,1,2,4,0,false
2,15,3,2,0,0,false
2,45,3,4,0,1,false
2,60,0,1,1,1,true
2,30,3,3,0,3,true
2,15,1,1,0,4,true
2,30,0,0,0,5,true
2,0,0,0,0,5,true
2,30,1,1,4,0,false
2,15,3,3,0,0,false
2,45,3,4,0,1,false
2,60,0,1,2,1,true
2,30,3,3,0,3,true
2,15,5,1,0,4,true
2,30,0,0,0,5,true
3,15,3,3,2,0,false
3,60,0,1,2,0,false
3,15,3,3,1,2,false
3,30,1,1,0,2,true
3,15,3,3,0,3,false
3,15,1,0,1,3,true
3,30,0,1,1,4,true
3,45,1,0,0,5,true
4,45,4,3,1,0,false
4,15,2,2,3,0,false
4,30,1,0,2,1,true
4,60,0,1,1,2,true
4,0,3,3,1,2,false
4,45,1,1,1,4,true
4,60,0,0,0,5,true
4,15,2,2,0,3,false
4,0,3,3,1,2,false
4,45,0,3,1,4,true
4,60,5,0,0,5,true
4,15,2,2,0,3,false
5,60,3,3,2,0,false
5,45,1,1,2,1,true
5,60,4,3,2,1,false
5,45,3,4,0,2,false
5,15,0,1,1,2,true
5,15,1,2,2,2,true
5,30,1,1,4,1,false
5,15,0,0,2,1,true
5,0,3,4,1,1,false
5,30,1,0,2,1,true
5,30,0,1,3,1,true
5,60,3,0,0,1,true
5,45,4,1,0,3,false
