queue,waiting_time,order,meals,dirty,free,result
0,0,1,0,0,4,true
0,0,1,5,0,0,false
0,0,1,5,1,3,false
1,0,1,4,2,2,false
1,30,1,2,3,0,false
1,60,1,3,1,2,false
2,0,1,4,0,4,false
2,30,1,3,1,2,false
2,60,1,2,1,3,false
3,0,1,3,3,0,false
3,30,1,5,2,1,false
3,60,1,0,1,2,true
4,15,1,1,2,4,false
4,15,1,2,1,1,false
4,30,1,0,0,2,true
4,45,1,1,2,3,false
5,45,1,2,3,0,false
5,45,1,5,3,1,false
5,60,1,3,1,4,false
5,15,1,1,1,2,false
0,45,2,3,4,0,false
0,30,2,1,2,1,true
0,0,2,2,2,2,true
1,60,2,5,1,3,false
1,15,2,3,4,0,false
1,30,2,1,0,1,true
2,45,2,4,1,2,false
2,0,2,2,2,3,false
2,60,2,0,2,0,true
2,15,2,0,3,1,true
3,30,2,0,0,4,false
3,45,2,1,2,2,false
3,60,2,4,1,2,false
3,0,2,5,0,2,false
4,30,2,2,0,3,false
4,15,2,0,1,3,false
4,45,2,1,0,3,false
5,0,2,4,3,1,false
5,15,2,5,3,1,false
5,60,2,2,2,1,false
0,0,3,0,2,1,true
0,15,3,3,1,2,true
0,45,3,3,0,2,true
1,60,3,1,2,0,true
1,30,3,4,1,0,false
1,30,3,5,2,0,false
1,30,3,2,0,4,true
2,15,3,0,0,4,true
2,45,3,1,0,4,true
2,45,3,3,3,1,false
3,60,3,0,1,2,true
3,30,3,2,3,0,false
3,30,3,1,1,3,true
3,60,3,4,2,2,false
4,15,3,5,2,1,false
4,15,3,0,4,0,false
4,30,3,1,4,0,false
5,45,3,2,1,3,false
5,45,3,0,2,2,false
5,60,3,3,1,1,false
0,15,4,2,2,0,true
0,45,4,1,1,3,true
0,30,4,4,2,2,false
0,30,4,5,3,1,false
1,30,4,2,1,0,true
1,15,4,0,1,2,true
1,60,4,1,2,3,true
2,60,4,3,1,2,false
2,45,4,0,0,1,true
2,45,4,1,0,4,true
3,30,4,4,0,4,false
3,30,4,5,0,4,false
3,0,4,2,0,2,true
3,0,4,0,4,0,false
4,15,4,1,0,3,true
4,0,4,0,1,2,true
4,15,4,3,2,1,false
5,30,4,2,0,4,false
5,45,4,1,4,0,false
5,30,4,2,3,0,false
0,15,5,1,1,3,true
0,0,5,3,0,4,true
1,0,5,2,1,1,true
1,60,5,5,2,0,false
1,45,5,4,1,3,true
2,30,5,1,0,2,true
2,15,5,0,0,4,true
2,15,5,2,3,1,true
3,45,5,3,3,1,true
3,30,5,5,1,2,false
3,0,5,4,1,3,false
3,0,5,5,2,2,false
4,15,5,2,0,4,true
4,60,5,1,3,0,true
4,60,5,0,4,0,true
5,30,5,3,1,3,false
5,30,5,2,2,2,false
5,45,5,0,3,1,false
5,15,5,1,4,0,true
5,60,5,4,0,3,false
